loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_range_low,revol_util,loan_status
18500,36 months,7.37,574.36,A,< 1 year,RENT,31500,Verified,debt_consolidation,8.4,0,752,16.7,Fully Paid
13200,36 months,17.55,474.24,E,10+ years,RENT,40500,Verified,debt_consolidation,40.21,1,673,83.8,Charged Off
6500,60 months,19.64,170.91,D,10+ years,MORTGAGE,63000,Not Verified,home_improvement,11.66,1,700,67.7,Charged Off
16800,60 months,7.05,333.06,A,5 years,RENT,95500,Source Verified,other,23.24,0,736,43.7,Fully Paid
10100,36 months,12.9,339.82,C,2 years,RENT,53400,Source Verified,debt_consolidation,13.36,1,699,49.8,Fully Paid
5800,36 months,14.77,200.41,C,1 year,MORTGAGE,114100,Verified,credit_card,10.3,0,720,82.6,Charged Off
5300,36 months,10.58,172.46,B,2 years,OWN,148200,Verified,credit_card,33.05,0,706,97.6,Charged Off
16500,36 months,15.18,573.43,C,3 years,MORTGAGE,79900,Not Verified,debt_consolidation,34.73,0,701,53.7,Charged Off
21300,36 months,12.76,715.22,C,3 years,RENT,177200,Source Verified,debt_consolidation,16.66,0,695,77.3,Fully Paid
15900,36 months,22.21,608.96,E,10+ years,MORTGAGE,84700,Verified,debt_consolidation,7.64,1,684,79.3,Charged Off
14400,60 months,11.31,315.32,B,3 years,MORTGAGE,70900,Not Verified,other,14.54,3,694,20.5,Fully Paid
6800,36 months,12.68,228.07,C,10+ years,RENT,162600,Verified,debt_consolidation,22.74,0,683,31.2,Charged Off
14400,36 months,16.16,507.4,D,1 year,MORTGAGE,30500,Not Verified,credit_card,22.5,0,701,31.3,Charged Off
10500,60 months,7.39,209.85,A,3 years,MORTGAGE,55000,Verified,credit_card,19.77,0,756,75.1,Charged Off
18900,36 months,12.51,632.36,C,10+ years,MORTGAGE,26900,Verified,small_business,13.12,0,707,69.5,Charged Off
25100,60 months,14.86,595.28,D,3 years,MORTGAGE,85200,Verified,credit_card,26.35,0,670,,Charged Off
20700,36 months,9.63,664.34,B,7 years,RENT,99400,Not Verified,debt_consolidation,17.93,0,700,62.0,Fully Paid
15300,36 months,22.95,591.86,F,10+ years,MORTGAGE,72600,Not Verified,credit_card,15.84,0,658,73.4,Charged Off
10600,60 months,14.93,251.78,C,9 years,MORTGAGE,76000,Verified,debt_consolidation,13.74,0,677,50.7,Charged Off
22700,60 months,16.4,556.86,D,7 years,MORTGAGE,51600,Not Verified,debt_consolidation,27.38,0,665,13.1,Charged Off
7300,60 months,10.0,155.1,B,2 years,RENT,52200,Not Verified,debt_consolidation,14.06,0,727,89.1,Charged Off
13200,36 months,8.85,418.84,B,4 years,OWN,66700,Not Verified,credit_card,27.26,0,726,48.9,Fully Paid
8500,36 months,6.8,261.68,A,6 years,OWN,65200,Not Verified,debt_consolidation,18.66,2,752,37.7,Charged Off
9200,36 months,16.13,324.04,D,2 years,OWN,69600,Source Verified,debt_consolidation,17.76,1,682,81.7,Charged Off
17200,36 months,7.46,534.71,A,3 years,MORTGAGE,52700,Not Verified,credit_card,19.9,1,730,39.0,Charged Off
7100,36 months,18.48,258.39,D,10+ years,MORTGAGE,63400,Source Verified,major_purchase,21.12,0,684,58.2,Charged Off
9900,36 months,11.72,327.5,C,9 years,RENT,16500,Not Verified,car,15.89,0,717,53.5,Charged Off
12800,36 months,14.04,437.72,C,9 years,OWN,77600,Not Verified,debt_consolidation,24.1,0,689,45.5,Charged Off
15700,60 months,10.52,337.61,B,10+ years,MORTGAGE,147200,Not Verified,car,20.97,0,712,56.3,Fully Paid
9500,36 months,7.69,296.34,A,8 years,MORTGAGE,32400,Verified,small_business,12.98,1,749,39.2,Fully Paid
10100,60 months,13.3,231.36,C,< 1 year,MORTGAGE,48000,Not Verified,debt_consolidation,14.98,0,711,66.9,Fully Paid
9200,36 months,14.67,317.44,C,5 years,RENT,121700,Not Verified,debt_consolidation,14.69,0,703,23.6,Fully Paid
7400,60 months,17.65,186.51,D,,MORTGAGE,68500,Not Verified,credit_card,12.53,0,685,57.3,Charged Off
10600,36 months,14.08,362.69,D,10+ years,MORTGAGE,125000,Not Verified,credit_card,21.39,0,708,47.2,Charged Off
19500,60 months,11.46,428.46,B,5 years,RENT,42700,Source Verified,debt_consolidation,19.45,0,707,,Fully Paid
13200,36 months,15.35,459.85,D,4 years,RENT,67700,Verified,major_purchase,37.52,0,679,67.1,Charged Off
21500,60 months,15.72,519.64,D,5 years,MORTGAGE,83000,Verified,debt_consolidation,7.65,0,680,63.6,Charged Off
5200,36 months,9.48,166.52,B,2 years,OWN,87000,Not Verified,home_improvement,13.4,0,722,55.8,Fully Paid
10500,60 months,5.0,198.15,A,4 years,RENT,32100,Verified,car,24.99,0,750,49.1,Fully Paid
10200,36 months,7.41,316.86,A,3 years,RENT,59100,Not Verified,debt_consolidation,12.7,0,736,42.6,Fully Paid
11700,60 months,17.05,291.09,D,10+ years,RENT,134600,Source Verified,debt_consolidation,5.68,0,688,86.4,Fully Paid
40000,60 months,15.15,954.75,D,10+ years,OWN,57300,Not Verified,home_improvement,5.68,0,683,57.2,Fully Paid
8800,60 months,13.96,204.58,D,10+ years,RENT,79800,Not Verified,credit_card,18.09,1,677,35.1,Fully Paid
10900,36 months,13.18,368.21,C,< 1 year,MORTGAGE,66700,Verified,debt_consolidation,16.16,0,699,44.0,Fully Paid
7100,36 months,11.47,234.03,B,1 year,MORTGAGE,53200,Source Verified,debt_consolidation,27.08,2,692,73.7,Fully Paid
6000,36 months,13.64,204.02,C,10+ years,OWN,37600,Not Verified,medical,21.8,0,712,89.5,Charged Off
9300,60 months,16.63,229.28,D,2 years,MORTGAGE,62800,Not Verified,credit_card,25.15,0,665,70.0,Fully Paid
12500,36 months,15.06,433.68,D,4 years,RENT,73400,Verified,debt_consolidation,20.81,0,691,83.5,Fully Paid
8900,36 months,7.33,276.15,A,5 years,MORTGAGE,77300,Verified,debt_consolidation,22.46,0,760,83.8,Charged Off
13200,60 months,22.11,365.4,E,6 years,MORTGAGE,144300,Source Verified,small_business,11.69,0,675,79.7,Charged Off
34200,36 months,17.54,1228.53,D,3 years,MORTGAGE,104500,Source Verified,debt_consolidation,8.06,1,683,20.2,Fully Paid
34200,36 months,16.66,1213.54,D,10+ years,MORTGAGE,187500,Source Verified,debt_consolidation,24.37,1,688,76.0,Charged Off
6900,36 months,9.98,222.58,B,10+ years,MORTGAGE,89500,Source Verified,debt_consolidation,14.58,1,695,26.8,Fully Paid
9200,36 months,11.54,303.55,C,< 1 year,MORTGAGE,58300,Source Verified,debt_consolidation,21.89,0,681,40.1,Charged Off
9400,36 months,8.42,296.39,B,10+ years,MORTGAGE,57700,Verified,debt_consolidation,22.12,1,710,54.3,Charged Off
12900,36 months,15.18,448.32,C,,RENT,120800,Source Verified,credit_card,17.94,1,683,44.4,Fully Paid
12300,60 months,15.09,293.2,C,10+ years,MORTGAGE,146600,Not Verified,debt_consolidation,10.51,0,712,37.2,Fully Paid
12200,36 months,7.26,378.15,A,4 years,RENT,117400,Verified,debt_consolidation,12.4,0,719,22.3,Fully Paid
33900,36 months,20.14,1262.26,D,3 years,MORTGAGE,96300,Not Verified,debt_consolidation,20.73,0,682,53.1,Fully Paid
7000,36 months,6.16,213.46,A,8 years,OWN,90600,Source Verified,debt_consolidation,5.54,0,730,70.1,Fully Paid
10300,60 months,7.33,205.56,A,4 years,RENT,24300,Not Verified,home_improvement,14.8,1,728,21.9,Fully Paid
10700,36 months,27.59,440.22,G,10+ years,OWN,146200,Not Verified,credit_card,14.66,0,654,32.0,Fully Paid
7400,60 months,16.17,180.62,D,5 years,RENT,26600,Source Verified,debt_consolidation,7.49,1,707,55.1,Fully Paid
12400,36 months,7.53,385.89,A,2 years,OWN,59400,Verified,debt_consolidation,7.0,1,730,66.9,Fully Paid
12900,60 months,13.56,297.23,C,10+ years,RENT,288200,Verified,debt_consolidation,13.69,0,696,37.5,Charged Off
10100,36 months,18.43,367.32,D,10+ years,MORTGAGE,28000,Verified,debt_consolidation,12.33,0,691,45.6,Charged Off
10900,60 months,20.21,290.06,E,10+ years,MORTGAGE,25600,Source Verified,debt_consolidation,5.34,1,644,64.6,Fully Paid
5300,36 months,7.99,166.06,A,5 years,RENT,35200,Not Verified,credit_card,20.94,2,740,64.6,Charged Off
17000,36 months,15.33,592.06,D,8 years,RENT,104400,Verified,debt_consolidation,23.85,0,695,29.5,Charged Off
19600,36 months,5.71,593.7,A,10+ years,RENT,37800,Verified,debt_consolidation,14.51,0,748,30.5,Fully Paid
13900,60 months,16.19,339.43,D,3 years,MORTGAGE,80000,Verified,credit_card,5.17,1,684,61.4,Charged Off
10700,60 months,13.96,248.75,C,10+ years,MORTGAGE,42600,Verified,major_purchase,11.18,1,688,51.8,Fully Paid
20400,36 months,19.07,748.5,D,5 years,RENT,27700,Not Verified,debt_consolidation,11.79,0,679,26.7,Fully Paid
28500,60 months,17.78,720.31,D,8 years,RENT,63700,Not Verified,debt_consolidation,30.54,0,667,76.0,Charged Off
22200,36 months,8.34,699.15,A,10+ years,MORTGAGE,55300,Verified,major_purchase,29.27,0,755,65.3,Fully Paid
19500,36 months,11.49,642.94,C,1 year,MORTGAGE,36200,Source Verified,debt_consolidation,25.4,0,699,85.2,Charged Off
11400,36 months,6.7,350.44,A,10+ years,MORTGAGE,16500,Not Verified,debt_consolidation,17.4,0,750,38.5,Fully Paid
7000,60 months,28.32,219.3,F,8 years,MORTGAGE,62300,Verified,debt_consolidation,16.4,1,649,77.1,Charged Off
30200,36 months,12.83,1015.09,C,10+ years,MORTGAGE,22600,Not Verified,debt_consolidation,37.37,0,716,34.1,Charged Off
9700,60 months,8.95,201.12,B,9 years,RENT,92700,Source Verified,debt_consolidation,15.64,0,718,74.6,Fully Paid
32600,60 months,13.76,754.49,C,6 years,OWN,152500,Not Verified,other,13.73,1,701,82.3,Fully Paid
9200,36 months,11.62,303.9,C,9 years,MORTGAGE,46200,Source Verified,credit_card,20.98,1,700,61.7,Charged Off
11100,60 months,16.71,274.14,D,2 years,OWN,179100,Source Verified,debt_consolidation,19.66,1,692,71.2,Fully Paid
12000,60 months,7.14,238.41,A,,MORTGAGE,44200,Not Verified,small_business,7.7,0,740,36.0,Fully Paid
5100,36 months,19.33,187.8,E,7 years,RENT,79000,Not Verified,debt_consolidation,20.56,0,644,37.1,Charged Off
6200,60 months,10.69,133.85,C,2 years,MORTGAGE,44900,Not Verified,debt_consolidation,26.01,0,704,38.9,Charged Off
15400,36 months,11.61,508.64,C,1 year,RENT,89600,Verified,credit_card,16.43,0,701,96.6,Charged Off
23000,36 months,11.25,755.72,C,10+ years,MORTGAGE,24400,Verified,credit_card,19.93,1,702,85.1,Charged Off
14200,36 months,13.49,481.81,C,< 1 year,RENT,55400,Source Verified,debt_consolidation,17.83,1,681,8.4,Charged Off
19000,60 months,11.7,419.77,B,7 years,MORTGAGE,142200,Not Verified,debt_consolidation,31.22,2,714,33.1,Charged Off
4900,60 months,15.07,116.75,D,10+ years,MORTGAGE,117500,Not Verified,major_purchase,16.46,0,662,77.0,Fully Paid
9200,36 months,12.58,308.13,C,10+ years,MORTGAGE,77900,Not Verified,other,23.0,0,702,71.1,Charged Off
10400,60 months,15.57,250.54,D,2 years,RENT,61700,Not Verified,debt_consolidation,11.0,0,673,,Charged Off
11100,60 months,10.64,239.35,B,10+ years,RENT,41300,Verified,credit_card,16.68,0,706,66.8,Charged Off
4100,36 months,9.59,131.51,B,7 years,RENT,50400,Verified,debt_consolidation,16.71,1,726,43.1,Fully Paid
18900,36 months,18.5,688.03,D,5 years,RENT,36500,Not Verified,debt_consolidation,17.17,0,687,44.3,Charged Off
3800,36 months,15.18,132.06,C,4 years,MORTGAGE,86500,Source Verified,credit_card,21.58,0,702,32.6,Charged Off
9400,36 months,12.71,315.41,C,9 years,RENT,81800,Not Verified,credit_card,32.55,0,704,81.1,Fully Paid
22300,60 months,15.74,539.22,C,8 years,MORTGAGE,93000,Source Verified,small_business,22.19,2,712,51.8,Charged Off
12400,36 months,12.47,414.65,B,5 years,RENT,92600,Source Verified,debt_consolidation,27.44,0,716,85.0,Charged Off
6900,36 months,14.69,238.14,C,1 year,OWN,52300,Source Verified,debt_consolidation,14.69,0,691,47.0,Fully Paid
13700,36 months,10.55,445.61,B,< 1 year,RENT,80100,Verified,major_purchase,21.41,0,691,30.7,Fully Paid
6400,36 months,18.55,233.14,E,1 year,MORTGAGE,20100,Source Verified,credit_card,24.78,1,669,37.2,Charged Off
6700,36 months,9.73,215.34,B,4 years,RENT,64800,Not Verified,credit_card,12.54,1,738,81.9,Charged Off
9100,36 months,25.51,364.27,G,7 years,MORTGAGE,73000,Verified,home_improvement,15.68,0,641,47.7,Charged Off
13500,36 months,14.72,466.13,C,2 years,RENT,217500,Verified,credit_card,8.66,0,698,,Charged Off
22600,36 months,21.05,852.04,E,1 year,RENT,15800,Source Verified,debt_consolidation,14.69,0,662,48.0,Charged Off
11700,36 months,11.81,387.55,B,7 years,RENT,69000,Source Verified,debt_consolidation,13.54,1,728,45.6,Fully Paid
10300,60 months,18.13,262.28,D,10+ years,RENT,69900,Not Verified,debt_consolidation,14.37,0,677,66.6,Charged Off
25200,36 months,12.37,841.46,C,4 years,MORTGAGE,85400,Not Verified,debt_consolidation,6.72,1,674,47.7,Charged Off
24700,60 months,20.57,662.26,D,10+ years,MORTGAGE,71200,Source Verified,debt_consolidation,11.15,0,675,87.9,Fully Paid
11700,60 months,16.99,290.71,D,2 years,RENT,106600,Not Verified,credit_card,6.54,0,687,65.7,Charged Off
17600,36 months,16.88,626.44,D,10+ years,RENT,172300,Source Verified,debt_consolidation,18.38,0,673,63.4,Fully Paid
17000,36 months,11.33,559.22,C,10+ years,MORTGAGE,31600,Verified,car,23.94,0,702,26.3,Fully Paid
17400,60 months,9.43,364.84,B,10+ years,MORTGAGE,97300,Verified,other,22.04,0,732,44.3,Charged Off
11600,60 months,14.33,271.9,C,10+ years,RENT,32400,Source Verified,other,20.1,2,716,87.8,Charged Off
16100,36 months,9.89,518.67,B,10+ years,MORTGAGE,32400,Not Verified,debt_consolidation,14.23,0,705,91.0,Fully Paid
13200,60 months,9.98,280.33,B,10+ years,RENT,64100,Source Verified,debt_consolidation,19.46,0,704,33.6,Fully Paid
15800,60 months,21.25,429.67,E,1 year,RENT,72100,Not Verified,debt_consolidation,6.91,0,665,12.9,Charged Off
26500,60 months,18.32,677.55,E,10+ years,MORTGAGE,47000,Source Verified,debt_consolidation,26.14,1,659,69.6,Charged Off
16500,36 months,11.6,544.89,B,7 years,MORTGAGE,59800,Source Verified,debt_consolidation,34.79,0,728,25.3,Charged Off
13600,60 months,11.84,301.43,B,10+ years,MORTGAGE,51400,Source Verified,other,20.07,0,691,78.1,Charged Off
7700,36 months,13.64,261.82,C,10+ years,RENT,78800,Not Verified,debt_consolidation,20.11,0,700,60.1,Fully Paid
10400,36 months,12.62,348.52,C,4 years,RENT,55600,Not Verified,credit_card,10.7,0,699,67.7,Fully Paid
6300,36 months,23.63,245.94,F,10+ years,MORTGAGE,88500,Source Verified,medical,8.86,0,661,58.7,Charged Off
14000,36 months,18.58,510.22,D,< 1 year,MORTGAGE,41500,Verified,debt_consolidation,17.3,0,678,23.7,Charged Off
9900,36 months,13.03,333.71,B,1 year,RENT,155500,Not Verified,debt_consolidation,12.99,0,715,43.6,Fully Paid
11800,36 months,6.57,362.03,A,10+ years,MORTGAGE,84600,Not Verified,debt_consolidation,30.12,0,743,70.0,Charged Off
26000,36 months,11.5,857.38,B,10+ years,MORTGAGE,48400,Verified,debt_consolidation,29.59,0,711,56.0,Charged Off
8200,60 months,16.57,201.9,D,10+ years,MORTGAGE,106200,Not Verified,debt_consolidation,19.31,1,688,28.3,Fully Paid
6700,60 months,11.71,148.06,B,< 1 year,MORTGAGE,112300,Verified,credit_card,7.14,2,696,39.3,Fully Paid
12900,36 months,20.43,482.24,E,< 1 year,RENT,101100,Source Verified,other,7.03,0,673,84.1,Charged Off
6900,36 months,8.52,217.88,A,,MORTGAGE,31300,Source Verified,debt_consolidation,5.01,0,741,57.8,Fully Paid
7100,36 months,16.32,250.74,D,4 years,RENT,77900,Not Verified,debt_consolidation,16.06,1,668,51.5,Fully Paid
5300,36 months,18.23,192.22,D,10+ years,RENT,116400,Source Verified,credit_card,7.19,0,686,56.1,Charged Off
14200,36 months,11.11,465.63,B,3 years,MORTGAGE,67100,Not Verified,credit_card,11.82,0,713,59.3,Charged Off
9600,60 months,15.26,229.7,D,6 years,RENT,71700,Verified,debt_consolidation,13.11,0,681,44.2,Fully Paid
17300,60 months,15.92,419.97,D,10+ years,RENT,111300,Verified,credit_card,31.87,0,671,53.4,Charged Off
18900,36 months,15.88,663.35,D,4 years,MORTGAGE,51700,Verified,medical,18.51,0,658,57.9,Charged Off
17500,36 months,7.44,543.88,A,10+ years,RENT,89200,Not Verified,credit_card,38.1,0,756,74.3,Charged Off
5700,36 months,25.09,226.9,F,6 years,RENT,152200,Verified,medical,20.69,0,652,59.4,Fully Paid
25700,36 months,9.6,824.45,B,10+ years,RENT,91700,Verified,credit_card,36.6,1,717,28.8,Charged Off
12900,60 months,15.76,312.06,D,10+ years,MORTGAGE,32300,Source Verified,medical,20.15,0,673,28.0,Charged Off
38100,36 months,24.25,1499.78,F,8 years,MORTGAGE,174500,Source Verified,debt_consolidation,29.25,0,658,70.1,Charged Off
15500,60 months,7.78,312.65,A,5 years,MORTGAGE,62800,Not Verified,debt_consolidation,41.81,0,729,33.9,Fully Paid
7400,36 months,15.58,258.63,C,9 years,RENT,170900,Source Verified,debt_consolidation,28.41,0,713,48.8,Charged Off
7900,36 months,14.19,270.73,D,7 years,MORTGAGE,146700,Verified,home_improvement,11.47,1,696,9.8,Charged Off
15700,36 months,13.68,534.15,C,10+ years,MORTGAGE,150000,Source Verified,debt_consolidation,24.45,0,709,43.2,Fully Paid
17300,36 months,13.04,583.24,C,10+ years,MORTGAGE,86300,Source Verified,debt_consolidation,5.24,0,685,24.3,Fully Paid
4000,60 months,11.8,88.57,B,3 years,OWN,82100,Verified,small_business,18.61,0,713,93.4,Charged Off
11400,36 months,12.83,383.18,C,2 years,OWN,58600,Verified,debt_consolidation,21.1,1,714,46.4,Fully Paid
11100,36 months,10.06,358.48,B,10+ years,MORTGAGE,359400,Not Verified,debt_consolidation,14.35,0,740,41.4,Fully Paid
34700,36 months,10.59,1129.31,B,10+ years,MORTGAGE,88400,Source Verified,debt_consolidation,12.75,0,708,61.1,Fully Paid
10200,36 months,19.67,377.36,E,2 years,MORTGAGE,72000,Not Verified,home_improvement,8.52,1,645,50.8,Charged Off
16500,60 months,17.74,416.66,D,9 years,RENT,56600,Source Verified,debt_consolidation,16.63,0,696,71.0,Fully Paid
23300,36 months,14.38,800.65,D,8 years,RENT,75100,Verified,debt_consolidation,18.96,1,666,76.3,Charged Off
6700,36 months,22.83,258.76,E,10+ years,MORTGAGE,42000,Source Verified,car,8.26,0,665,40.3,Charged Off
9400,36 months,15.13,326.45,D,< 1 year,RENT,96000,Verified,debt_consolidation,13.24,0,687,31.2,Charged Off
18600,60 months,10.67,401.35,B,3 years,MORTGAGE,114200,Source Verified,debt_consolidation,28.91,0,713,43.1,Fully Paid
24300,36 months,15.2,844.75,C,1 year,RENT,23700,Verified,debt_consolidation,14.68,1,713,54.0,Fully Paid
7000,60 months,13.02,159.34,B,4 years,OTHER,56600,Not Verified,credit_card,14.09,1,717,69.0,Fully Paid
8900,36 months,15.36,310.09,C,10+ years,RENT,38900,Source Verified,credit_card,12.86,0,713,39.9,Fully Paid
6900,60 months,20.46,184.58,D,7 years,MORTGAGE,71600,Not Verified,debt_consolidation,24.81,0,697,17.8,Charged Off
5000,36 months,10.62,162.8,B,7 years,RENT,101800,Not Verified,debt_consolidation,33.08,0,717,67.4,Charged Off
9700,60 months,11.0,210.9,B,3 years,RENT,78800,Not Verified,credit_card,12.38,0,706,65.8,Charged Off
9800,36 months,24.66,387.89,F,10+ years,MORTGAGE,44100,Not Verified,credit_card,22.52,1,654,36.0,Charged Off
27800,36 months,12.6,931.34,C,9 years,MORTGAGE,12000,Source Verified,debt_consolidation,23.05,0,711,40.6,Charged Off
8500,36 months,11.8,281.51,C,10+ years,MORTGAGE,69700,Verified,debt_consolidation,29.43,0,688,57.7,Fully Paid
12500,36 months,16.34,441.56,D,10+ years,MORTGAGE,30700,Not Verified,credit_card,9.55,0,675,65.2,Fully Paid
4100,36 months,18.11,148.45,D,10+ years,MORTGAGE,20700,Verified,debt_consolidation,27.22,1,676,31.4,Charged Off
12600,36 months,17.5,452.37,D,4 years,RENT,61300,Source Verified,debt_consolidation,23.67,1,669,44.2,Charged Off
10900,36 months,20.0,405.08,E,10+ years,MORTGAGE,84300,Verified,debt_consolidation,20.52,0,675,87.7,Charged Off
9700,36 months,10.01,313.04,B,1 year,RENT,22100,Not Verified,home_improvement,29.28,1,737,51.9,Charged Off
9300,60 months,12.89,211.08,C,10+ years,RENT,31600,Verified,credit_card,20.59,1,692,52.5,Charged Off
14000,36 months,10.64,455.96,B,5 years,OWN,159200,Verified,debt_consolidation,22.94,1,718,66.6,Charged Off
7400,60 months,19.43,193.72,E,8 years,MORTGAGE,44100,Source Verified,debt_consolidation,25.83,0,682,42.2,Charged Off
10900,60 months,16.42,267.51,D,1 year,MORTGAGE,41100,Source Verified,credit_card,16.23,0,679,26.9,Fully Paid
6500,60 months,13.85,150.74,C,8 years,RENT,86700,Source Verified,debt_consolidation,15.55,1,686,89.9,Fully Paid
11900,60 months,14.14,277.76,C,10+ years,RENT,39200,Verified,debt_consolidation,12.05,0,691,71.6,Fully Paid
10900,36 months,14.97,377.69,D,2 years,RENT,91400,Source Verified,debt_consolidation,9.37,0,681,79.8,Charged Off
5900,60 months,11.46,129.64,B,,OWN,46500,Verified,debt_consolidation,7.13,0,704,47.8,Fully Paid
9600,36 months,12.51,321.2,B,2 years,MORTGAGE,19600,Not Verified,major_purchase,15.61,1,708,66.2,Fully Paid
9800,36 months,20.3,365.7,E,10+ years,MORTGAGE,30400,Not Verified,debt_consolidation,21.46,0,680,45.4,Fully Paid
7000,36 months,8.57,221.2,A,2 years,RENT,77600,Verified,car,18.88,1,746,49.3,Fully Paid
5100,60 months,9.39,106.84,B,4 years,RENT,21200,Source Verified,car,12.45,0,722,27.8,Fully Paid
40000,60 months,23.11,1130.15,F,10+ years,RENT,50700,Not Verified,small_business,8.04,0,665,52.5,Charged Off
3900,36 months,6.44,119.42,A,3 years,MORTGAGE,94800,Not Verified,debt_consolidation,12.29,1,750,69.5,Fully Paid
5800,36 months,10.03,187.23,B,9 years,MORTGAGE,76600,Verified,major_purchase,25.1,0,698,61.9,Charged Off
3400,60 months,13.69,78.57,C,10+ years,RENT,41600,Not Verified,credit_card,12.35,0,703,57.1,Fully Paid
5000,36 months,12.93,168.3,C,2 years,MORTGAGE,40700,Not Verified,debt_consolidation,9.87,0,719,52.5,Fully Paid
10600,36 months,19.06,388.88,E,2 years,MORTGAGE,70600,Source Verified,debt_consolidation,23.35,0,680,43.2,Charged Off
4800,36 months,18.05,173.65,E,< 1 year,RENT,60300,Not Verified,debt_consolidation,12.5,0,672,86.6,Charged Off
9300,36 months,13.23,314.39,C,8 years,MORTGAGE,105300,Source Verified,debt_consolidation,20.88,1,702,41.5,Charged Off
15700,36 months,7.03,484.99,A,10+ years,MORTGAGE,102400,Source Verified,debt_consolidation,25.54,0,741,42.1,Fully Paid
12200,36 months,18.83,446.16,E,6 years,MORTGAGE,59700,Source Verified,debt_consolidation,26.98,0,655,79.0,Charged Off
16000,60 months,19.49,419.37,E,5 years,MORTGAGE,69400,Not Verified,debt_consolidation,12.94,0,689,16.4,Fully Paid
